PFCv2 Primary,PFCv2 Detailed,PFCv2 Description,PFCv1 Primary,PFCv1 Detailed,PFCv1 Description
Note: PFCv2 is a superset of PFCv1. All new customers after December 2025 are on PFCv2. Existing customers as of December 2025 are on PFCv1 by default and can opt in to PFCv2 via the personal_finance_category_version parameter.,,,,,
INCOME,INCOME_CHILD_SUPPORT,Child support refers to court-ordered payments made by a parent to financially support their child’s living expenses,,,
INCOME,INCOME_CONTRACTOR,Income from freelance or independent contract work.,,,
INCOME,INCOME_DIVIDENDS,Income from dividends,INCOME,INCOME_DIVIDENDS,Income from dividends
INCOME,INCOME_GIG_ECONOMY,"Money earned by working in the gig economy, for example by driving for Lyft, Uber, etc.",,,
INCOME,INCOME_INTEREST_EARNED,Income from interest on savings accounts,INCOME,INCOME_INTEREST_EARNED,Income from interest on savings accounts
INCOME,INCOME_LONG_TERM_DISABILITY,"Disability payments, for example from social security.",,,
INCOME,INCOME_MILITARY,Money earned from veterans benefits. Salary earned from serving in the military (through DFAS) is categorized as salary,,,
INCOME,INCOME_RENTAL,"Rental income includes money earned from payments related to property rentals, lease income, and short-term rental platforms such as airbnb and VRBO.",,,
INCOME,INCOME_RETIREMENT_PENSION,"Payments from the social security administration, private retirement systems, (eg. 401k) pensions, and government retirement programs",INCOME,INCOME_RETIREMENT_PENSION,Income from pension payments
INCOME,INCOME_SALARY,Income from salaries and wages,INCOME,INCOME_WAGES,"Income from salaries, gig-economy work, and tips earned"
INCOME,INCOME_TAX_REFUND,Government tax refund provided to the user,INCOME,INCOME_TAX_REFUND,Income from tax refunds
INCOME,INCOME_UNEMPLOYMENT,Money earned from unemployment benefits,INCOME,INCOME_UNEMPLOYMENT,"Income from unemployment benefits, including unemployment insurance and healthcare"
INCOME,INCOME_OTHER,Other miscellaneous income,INCOME,INCOME_OTHER_INCOME,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_AUTO,Auto loan disbursements,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_CASH_ADVANCES,Payday loans and cash advances,,,
